Lang Code	EN	UK	RU	FR	PL	ES	DE
^play	PLAY!	ГРАТИ!	ИГРАТЬ!	JOUER!	GRAJ!	JUGAR!	SPIELEN!
^collection	COLLECTION	КОЛЕКЦІЯ	КОЛЛЕКЦИЯ	COLLECTION	KOLEKCJA	COLECCIÓN	SAMMLUNG
^shop	SHOP	МАГАЗИН	МАГАЗИН	MAGASIN	SKLEP	TIENDA	LADEN
^daily_reward	DAILY REWARD	НАГОРОДИ	НАГРАДЫ	RECOMPENSE	NAGRODY	RECOMPENSAS	BELOHNUNG
^daily_quests	DAILY QUESTS	ЗАВДАННЯ	ЗАДАНИЯ	QUETES	ZADANIA	MISIONES	TÄGLICHE QUESTS
^go_ad_free_today	GO AD-FREE TODAY!	СЬОГОДНІ БЕЗ РЕКЛАМИ!	БЕЗ РЕКЛАМЫ СЕГОДНЯ!	PAS DE PUBS!	DZIS BEZ REKLAM!	LIBRE DE ANUNCIOS!	WERBEFREI GEHEN!
^settings	SETTINGS	НАСТРОЙКА	НАСТРОЙКИ	REGLAGES	USTAWIENIA	AJUSTES	EINSTELLUNGEN
^music	MUSIC	МУЗИКА	МУЗЫКА	MUSIQUE	MUZYKA	MÚSICA	MUSIK
^erase_data	ERASE DATA	СТЕРТИ ДАНІ	СТЕРЕТЬ ДАННЫЕ	EFFACE LES DONNÉES	KASOWANIE DANYCH	BORRAR DATOS	LÖSCHEN VON DATEN
^thank_you	THANK YOU!	ДЯКУЮ!	СПАСИБО!	MERCI!	DZIEKI!	GRACIAS!	DANKE!
^make_purchase	Make ANY PURCHASE OF COINS to receive:	Здійсніть будь-яку ПОКУПКУ МОНЕТ, щоб отримати:	Совершите ЛЮБУЮ ПОКУПКУ МОНЕТ, чтобы получить:	Faites TOUT ACHAT DE PIECES pour recevoir :	Dokonaj KAZDEGO ZAKUPU MONETY, aby otrzymac:	Realice CUALQUIER COMPRA DE MONEDAS para recibir:	Machen Sie JEDEN KAUF VON MÜNZEN, um zu erhalten:
